ID,orgao
99792,T1
99829,T1
99830,T1
99831,T1
99811,T1
99833,T1
99834,T1
99812,T1
99813,T1
99669,T1
99868,T2
99540,T2
99553,T2
99554,T2
99541,T2
99709,T2
99710,T2
99730,T2
99731,T2
99556,T2
99557,T2
99558,T2
99559,T2
99560,T2
99734,T2
99744,T2
99718,T2
99754,T2
99719,T2
99821,T2
99852,T2
99854,T2
99824,T2
99856,T2
99826,T2
99845,T2
99848,T2
99817,T2
99818,T2
99849,T2
99819,T2
99850,T2
99820,T2
99851,T2
99863,T2
99881,T2
99864,T2
99867,T2
99882,T2
99889,T2
99890,T2
99891,T2
99721,TP
99725,TP
99769,TP
99649,TP
99825,TP
99857,TP
99827,TP
99828,TP
99858,TP
99869,TP
99870,TP
99872,TP
99873,TP
99874,TP
99875,TP
99861,TP
99862,TP
99722,TP
99723,TP
99724,TP
99758,TP
99727,TP
99728,TP
99789,TP
99715,TP
99822,TP
99823,TP
99855,TP
99847,TP
99835,TP
99836,TP
99815,TP
99629,TP
99689,TP
99832,TP
99859,TP
99860,TP
99880,TP
99720,TP
99876,TP
99877,TP
99878,TP
99814,TP
99770,TP
99713,TP
99791,TP
99853,TP
99866,TP
99569,TP
99714,TP
100052,T1
100053,T1
100030,T1
100031,T1
100032,T1
100033,T1
100055,T1
100056,T1
100009,T1
100035,T1
100054,T1
100057,T1
100058,T1
99911,T1
100103,T1
100104,T1
100109,T1
100105,T1
100110,T1
100106,T1
100107,T1
100041,T1
100077,T1
100093,T1
100094,T1
100151,T1
100141,T1
100142,T1
100153,T1
100159,T1
100120,T1
99892,T1
100049,T1
100050,T1
100051,T1
100043,T1
100089,T1
100090,T1
100046,T2
99949,T2
99952,T2
99953,T2
100072,T2
100037,T2
100038,T2
100039,T2
100073,T2
100040,T2
100042,T2
100074,T2
100075,T2
100076,T2
100149,T2
100139,T2
100136,T2
100125,T2
100126,T2
100128,T2
100154,T2
100045,T2
100047,T2
100096,T2
100097,T2
100048,T2
100098,T2
100099,T2
100100,T2
100101,T2
100102,T2
100144,T2
100169,T2
100170,T2
100171,T2
100172,T2
100160,T2
100173,T2
100174,T2
100161,T2
100070,TP
100010,TP
100108,TP
100123,TP
100137,TP
100127,TP
100150,TP
100152,TP
100143,TP
100145,TP
100146,TP
100155,TP
100147,TP
100156,TP
100157,TP
100158,TP
100059,TP
100061,TP
100062,TP
100063,TP
100064,TP
100065,TP
100066,TP
100067,TP
100068,TP
100069,TP
100135,TP
100071,TP
100115,TP
100116,TP
100122,TP
100133,TP
100124,TP
100134,TP
100140,TP
99909,TP
99910,TP
99912,TP
100112,TP
100113,TP
99950,TP
100095,TP
100044,TP
99989,TP
100091,TP
100092,TP
100118,TP
100060,TP
100130,TP
100131,TP
100121,TP
100178,TP
100111,TP
100148,TP
100117,TP
100119,TP
100138,TP
99990,TP
100198,TP
100340,T1
100341,T1
100343,T1
100344,T1
100345,T1
100346,T1
100348,T1
100349,T1
100350,T1
100351,T1
100372,T1
100373,T1
100374,T1
100353,T1
100375,T1
100334,T1
100335,T1
100336,T1
100356,T1
100347,T1
100369,T1
100370,T1
100371,T1
100376,T1
100377,T1
100379,T1
100229,T1
100190,T1
100230,T1
100191,T1
100195,T1
100330,T1
100331,T1
100332,T1
100337,T1
100338,T1
100339,T1
100352,T1
100472,T1
100473,T1
100392,T1
100409,T1
100393,T1
100410,T1
100411,T1
100394,T1
100412,T1
100189,T1
100249,T1
100269,T1
100272,T1
100289,T1
100274,T1
100419,T1
100442,T1
100271,T1
100273,T1
100309,T1
100333,T1
100386,T1
100387,T1
100389,T1
100390,T1
100391,T1
100413,T1
100179,T2
100180,T2
100162,T2
100163,T2
100396,T2
100398,T2
100416,T2
100417,T2
100399,T2
100401,T2
100418,T2
100432,T2
100470,T2
100471,T2
100424,T2
100425,T2
100434,T2
100435,T2
100436,T2
100448,T2
100382,T2
100359,T2
100360,T2
100383,T2
100361,T2
100384,T2
100385,T2
100451,T2
100446,T2
100447,T2
100469,T2
100380,TP
100474,TP
100397,TP
100400,TP
100420,TP
100421,TP
100406,TP
100407,TP
100423,TP
100430,TP
100433,TP
100426,TP
100437,TP
100438,TP
100427,TP
100428,TP
100440,TP
100449,TP
100441,TP
100354,TP
100355,TP
100415,TP
100395,TP
100405,TP
100408,TP
100422,TP
100429,TP
100192,TP
100193,TP
100403,TP
100404,TP
100270,TP
100450,TP
100452,TP
100357,TP
100358,TP
100388,TP
100444,TP
100445,TP
100381,TP
100194,TP
100414,TP
100431,TP
100443,TP
100378,TP
100454,TP
100453,TP
100231,TP
100402,TP
100733,T1
100737,T1
100754,T1
100738,T1
100739,T1
100755,T1
100740,T1
100756,T1
100742,T1
100743,T1
100758,T1
100744,T1
100773,T1
100496,T1
100556,T1
100538,T1
100539,T1
100734,T1
100735,T1
100736,T1
100757,T1
100748,T1
100769,T1
100759,T1
100770,T1
100760,T1
100761,T1
100762,T1
100511,T1
100493,T1
100512,T1
100494,T1
100497,T1
100555,T1
100536,T1
100537,T1
100675,T1
100676,T1
100677,T1
100678,T1
100679,T1
100680,T1
100696,T1
100681,T1
100455,T1
100609,T1
100591,T1
100652,T1
100689,T1
100771,T1
100772,T1
100777,T1
100513,T1
100498,T1
100540,T1
100560,T1
100569,T1
100610,T1
100649,T1
100650,T1
100669,T1
100690,T1
100717,T1
100719,T1
100720,T1
100753,T1
100509,T1
100495,T1
100789,T2
100530,T2
100531,T2
100532,T2
100533,T2
100551,T2
100552,T2
100553,T2
100554,T2
100534,T2
100535,T2
100559,T2
100593,T2
100594,T2
100629,T2
100630,T2
100595,T2
100670,T2
100671,T2
100672,T2
100673,T2
100674,T2
100712,T2
100714,T2
100716,T2
100698,T2
100718,T2
100699,T2
100721,T2
100707,T2
100708,T2
100732,T2
100751,T2
100752,T2
100693,T2
100694,T2
100695,T2
100768,T2
100790,T2
100779,T2
100792,T2
100780,T2
100793,T2
100794,T2
100631,TP
100835,TP
100836,TP
100829,TP
100709,TP
100697,TP
100710,TP
100715,TP
100723,TP
100726,TP
100728,TP
100706,TP
100731,TP
100749,TP
100750,TP
100741,TP
100745,TP
100747,TP
100774,TP
100775,TP
100763,TP
100765,TP
100766,TP
100776,TP
100767,TP
100778,TP
100529,TP
100549,TP
100550,TP
100589,TP
100590,TP
100592,TP
100713,TP
100700,TP
100701,TP
100730,TP
100489,TP
100510,TP
100492,TP
100557,TP
100558,TP
100682,TP
100683,TP
100684,TP
100685,TP
100687,TP
100688,TP
100490,TP
100691,TP
100651,TP
100722,TP
100725,TP
100702,TP
100705,TP
100632,TP
100727,TP
100703,TP
100729,TP
100704,TP
100491,TP
100686,TP
101010,T1
101011,T1
101012,T1
101013,T1
101014,T1
101015,T1
100992,T1
101017,T1
101018,T1
100994,T1
100996,T1
101023,T1
100998,T1
100991,T1
100993,T1
101016,T1
100995,T1
100997,T1
101019,T1
101020,T1
101021,T1
101022,T1
100999,T1
101000,T1
100870,T1
100852,T1
100871,T1
101094,T1
101077,T1
101095,T1
101097,T1
101081,T1
101098,T1
101099,T1
101100,T1
101101,T1
101083,T1
100850,T1
101092,T1
101078,T1
101080,T1
101087,T1
100832,T1
100833,T1
100834,T1
100929,T1
100990,T1
101009,T1
101069,T1
101070,T1
101053,T1
101105,T1
100951,T2
101082,T2
101108,T2
100970,T2
100950,T2
100971,T2
100952,T2
100953,T2
100954,T2
101032,T2
101033,T2
101104,T2
101109,T2
101110,T2
101111,T2
101112,T2
101113,T2
101115,T2
101076,T2
101065,T2
101066,T2
101067,T2
101068,T2
101086,T2
100809,T2
101025,T2
101026,T2
101027,T2
101028,T2
101049,T2
101050,T2
101051,T2
101052,T2
101055,T2
101072,T2
101073,T2
101057,T2
101058,T2
101074,T2
101096,T2
101118,T2
101114,T2
101116,T2
101106,T2
101107,T2
